no,Language,ISO 639-1 Code,dataset lang,mbart code,Train,Dev,Test,Total,ROUGE-1,ROUGE-2,ROUGE-L
1,Arabic,ar,arabic,ar_AR,37519,4689,4689,46897,34.9107,14.7937,29.1623
2,Burmese,my,burmese,my_MM,4569,570,570,5709,15.9626,5.1477,14.1819
3,Chinese (Simplified),zh-CN,chinese_simplified,zh_CN,37360 (37362),4670,4670,46702,39.4071,17.7913,33.406
4,English,en,english,en_XX,306522,11535,11535,329592,37.601,15.1536,29.8817
5,French,fr,french,fr_XX,8697,1086,1086,10869,35.3398,16.1739,28.2041
6,Hindi,hi,hindi,hi_IN,70777 (70778),8847,8847,88472,38.5882,16.8802,32.0132
7,Japanese,ja,japanese,ja_XX,7113,889,889,8891,48.1544,23.8482,37.3636
8,Korean,ko,korean,kk_KZ,4407,550,550,5507,23.6745,11.4478,22.3619
9,Russian,ru,russian,ru_RU,62243,7780,7780,77803,32.2164,13.6386,26.1689
10,Spanish,es,spanish,es_XX,38110,4763,4763,47636,31.5071,11.8767,24.0746
11,Turkish,tr,turkish,tr_TR,27176,3397,3397,33970,32.9304,15.5709,29.2622
